date,state,total doses,first dose,second dose
2021-01-12,New Hampshire,11620,11615,5
2021-01-13,New Hampshire,12731,12722,9
2021-01-14,New Hampshire,56634,53780,2854
2021-01-15,New Hampshire,62497,56797,5700
2021-01-16,New Hampshire,64753,58698,6055
2021-01-17,New Hampshire,67009,60599,6410
2021-01-18,New Hampshire,69265,62500,6765
2021-01-19,New Hampshire,71522,64402,7120
2021-01-20,New Hampshire,75379,67366,8013
2021-01-21,New Hampshire,80600,70281,10319
2021-01-22,New Hampshire,85554,72979,12575
2021-01-23,New Hampshire,89775,76609,13166
2021-01-24,New Hampshire,93297,79942,13355
2021-01-25,New Hampshire,94581,80674,13907
2021-01-26,New Hampshire,96959,81417,15542
2021-01-27,New Hampshire,103037,84813,18224
2021-01-28,New Hampshire,110405,88624,21781
2021-01-29,New Hampshire,117360,92305,25055
2021-01-30,New Hampshire,123692,96148,27544
2021-01-31,New Hampshire,128260,98524,29736
2021-02-01,New Hampshire,130462,100041,30421
2021-02-02,New Hampshire,135745,103364,32381
2021-02-03,New Hampshire,138172,104042,34130
2021-02-04,New Hampshire,144980,108112,36868
2021-02-05,New Hampshire,153033,112544,40489
2021-02-06,New Hampshire,160411,116523,43888
2021-02-07,New Hampshire,165119,119552,45567
2021-02-08,New Hampshire,165834,119763,46071
2021-02-09,New Hampshire,168610,121201,47409
2021-02-10,New Hampshire,176068,125466,50602
2021-02-11,New Hampshire,183951,130806,53145
2021-02-12,New Hampshire,190953,135257,55696
2021-02-13,New Hampshire,200510,141108,59402
2021-02-14,New Hampshire,208376,146718,61658
2021-02-15,New Hampshire,212429,148983,63446
2021-02-16,New Hampshire,216483,151248,65235
2021-02-17,New Hampshire,218149,152041,66108
2021-02-18,New Hampshire,226695,157078,69617
2021-02-19,New Hampshire,241212,166491,74721
2021-02-20,New Hampshire,250119,171758,78361
2021-02-21,New Hampshire,260629,179139,81490
2021-02-22,New Hampshire,277437,192129,85308
2021-02-23,New Hampshire,283925,197531,86394
2021-02-24,New Hampshire,292205,203338,88867
2021-02-25,New Hampshire,301589,209909,91680
2021-02-26,New Hampshire,310526,215730,94796
2021-02-27,New Hampshire,322021,224347,97674
2021-02-28,New Hampshire,333312,233437,99875
2021-03-01,New Hampshire,336769,236501,100268
2021-03-02,New Hampshire,342519,241410,101109
2021-03-03,New Hampshire,351712,248242,103470
2021-03-04,New Hampshire,362383,255746,106637
2021-03-05,New Hampshire,371437,261912,109525
2021-03-06,New Hampshire,384549,270198,114351
2021-03-07,New Hampshire,395957,278812,117145
2021-03-08,New Hampshire,402459,282343,120116
2021-03-09,New Hampshire,413244,289813,123431
2021-03-10,New Hampshire,426227,297909,128318
2021-03-11,New Hampshire,441659,306918,134741
2021-03-12,New Hampshire,456534,315641,140893
2021-03-13,New Hampshire,478379,327787,150592
2021-03-14,New Hampshire,489356,333706,155650
2021-03-15,New Hampshire,494613,336445,158168
2021-03-16,New Hampshire,500946,339922,161024
2021-03-17,New Hampshire,509023,345874,163149
2021-03-18,New Hampshire,520454,352868,167586
2021-03-19,New Hampshire,532306,359702,172604
2021-03-20,New Hampshire,546361,368356,178005
2021-03-21,New Hampshire,562105,377145,184960
2021-03-22,New Hampshire,571423,380950,190473
2021-03-23,New Hampshire,579739,385013,194726
2021-03-24,New Hampshire,590092,390003,200089
2021-03-25,New Hampshire,601871,395378,206493
2021-03-26,New Hampshire,611189,399555,211634
2021-03-27,New Hampshire,623363,403769,219594
2021-03-28,New Hampshire,636690,408402,228288
2021-03-29,New Hampshire,641362,410366,230996
2021-03-30,New Hampshire,646204,412057,234147
2021-03-31,New Hampshire,654610,414738,239872
2021-04-01,New Hampshire,747600,500305,247295
2021-04-02,New Hampshire,761653,509351,252302
2021-04-03,New Hampshire,806919,545794,261125
2021-04-04,New Hampshire,816953,548665,268288
2021-04-05,New Hampshire,839966,569781,270185
2021-04-06,New Hampshire,844129,570870,273259
2021-04-07,New Hampshire,875081,592585,282496
2021-04-08,New Hampshire,906570,613483,293087
2021-04-09,New Hampshire,939218,637905,301313
2021-04-10,New Hampshire,976238,662538,313700
2021-04-11,New Hampshire,1019510,692179,327331
2021-04-12,New Hampshire,1051034,711212,339822
2021-04-13,New Hampshire,1071190,724874,346316
2021-04-14,New Hampshire,1084511,732717,351794
2021-04-15,New Hampshire,1127937,764629,363308
2021-04-16,New Hampshire,1154006,781912,372094
