date,state,total doses,first dose,second dose
2021-01-12,Delaware,18695,15911,2784
2021-01-13,Delaware,20697,16647,4050
2021-01-14,Delaware,30351,25649,4702
2021-01-15,Delaware,31003,25649,5354
2021-01-16,Delaware,33863,28156,5707
2021-01-17,Delaware,36725,30664,6061
2021-01-18,Delaware,39585,33171,6414
2021-01-19,Delaware,42447,35679,6768
2021-01-20,Delaware,45529,38610,6919
2021-01-21,Delaware,49255,41900,7355
2021-01-22,Delaware,54139,45292,8847
2021-01-23,Delaware,59890,49442,10448
2021-01-24,Delaware,64050,52586,11464
2021-01-25,Delaware,66778,55131,11647
2021-01-26,Delaware,68370,56646,11724
2021-01-27,Delaware,77304,64952,12352
2021-01-28,Delaware,82080,68959,13121
2021-01-29,Delaware,86894,72684,14210
2021-01-30,Delaware,91936,76980,14956
2021-01-31,Delaware,99367,82970,16397
2021-02-01,Delaware,102110,84482,17628
2021-02-02,Delaware,103183,85143,18040
2021-02-03,Delaware,106893,88325,18568
2021-02-04,Delaware,110121,89727,20394
2021-02-05,Delaware,113529,92265,21264
2021-02-06,Delaware,117753,94962,22791
2021-02-07,Delaware,122695,98450,24245
2021-02-08,Delaware,125915,100736,25179
2021-02-09,Delaware,126788,101383,25405
2021-02-10,Delaware,129373,103319,26054
2021-02-11,Delaware,132624,105760,26864
2021-02-12,Delaware,135838,108096,27742
2021-02-13,Delaware,141341,111918,29423
2021-02-14,Delaware,145659,114564,31095
2021-02-15,Delaware,148630,116082,32548
2021-02-16,Delaware,151602,117600,34002
2021-02-17,Delaware,154267,118666,35601
2021-02-18,Delaware,158986,121487,37499
2021-02-19,Delaware,174432,130818,43614
2021-02-20,Delaware,179714,133187,46527
2021-02-21,Delaware,180054,133251,46803
2021-02-22,Delaware,178747,132160,46587
2021-02-23,Delaware,181433,132655,48778
2021-02-24,Delaware,184665,133489,51176
2021-02-25,Delaware,190312,135362,54950
2021-02-26,Delaware,198243,138321,59922
2021-02-27,Delaware,207050,141310,65740
2021-02-28,Delaware,213432,144139,69293
2021-03-01,Delaware,219397,145722,73675
2021-03-02,Delaware,219658,145892,73766
2021-03-03,Delaware,231215,149940,81275
2021-03-04,Delaware,239454,154498,84956
2021-03-05,Delaware,248226,158871,89355
2021-03-06,Delaware,257660,163954,93706
2021-03-07,Delaware,267937,169956,97981
2021-03-08,Delaware,273111,172568,100543
2021-03-09,Delaware,277659,174037,103622
2021-03-10,Delaware,278345,174501,103844
2021-03-11,Delaware,292985,184777,108208
2021-03-12,Delaware,301596,190252,111344
2021-03-13,Delaware,312343,196931,115412
2021-03-14,Delaware,312742,197168,115574
2021-03-15,Delaware,329088,208306,120782
2021-03-16,Delaware,334602,211783,122819
2021-03-17,Delaware,343020,218487,124533
2021-03-18,Delaware,351385,225478,125907
2021-03-19,Delaware,358602,231420,127182
2021-03-20,Delaware,368231,238813,129418
2021-03-21,Delaware,378018,246522,131496
2021-03-22,Delaware,384876,251478,133398
2021-03-23,Delaware,385842,252231,133611
2021-03-24,Delaware,394258,258688,135570
2021-03-25,Delaware,403551,265056,138495
2021-03-26,Delaware,414408,272395,142013
2021-03-27,Delaware,424924,278731,146193
2021-03-28,Delaware,434997,285100,149897
2021-03-29,Delaware,443428,290527,152901
2021-03-30,Delaware,450837,295396,155441
2021-03-31,Delaware,461816,302043,159773
2021-04-01,Delaware,473286,309700,163586
2021-04-02,Delaware,485930,318248,167682
2021-04-03,Delaware,498618,326506,172112
2021-04-04,Delaware,508522,332492,176030
2021-04-05,Delaware,516244,338164,178080
2021-04-06,Delaware,518768,339803,178965
2021-04-07,Delaware,528257,344543,183714
2021-04-08,Delaware,537243,349683,187560
2021-04-09,Delaware,550603,356640,193963
2021-04-10,Delaware,563860,362848,201012
2021-04-11,Delaware,578856,369664,209192
2021-04-12,Delaware,585722,373330,212392
2021-04-13,Delaware,592409,377146,215263
2021-04-14,Delaware,604934,382813,222121
2021-04-15,Delaware,617819,388589,229230
2021-04-16,Delaware,631242,394951,236291
2021-04-17,Delaware,642958,400065,242893
2021-04-18,Delaware,654426,405029,249397
2021-04-19,Delaware,662364,408113,254251
2021-04-20,Delaware,667618,411326,256292
2021-04-21,Delaware,679496,417489,262007
2021-04-22,Delaware,691671,423046,268625
2021-04-23,Delaware,704242,428683,275559
2021-04-24,Delaware,715987,433501,282486
