date,state,total doses,first dose,second dose
2021-01-12,Kentucky,108852,102517,6335
2021-01-13,Kentucky,119174,111449,7725
2021-01-14,Kentucky,154518,145320,9198
2021-01-15,Kentucky,173405,162733,10672
2021-01-16,Kentucky,183702,172471,11231
2021-01-17,Kentucky,194001,182210,11791
2021-01-18,Kentucky,204300,191949,12351
2021-01-19,Kentucky,214599,201688,12911
2021-01-20,Kentucky,222493,208664,13829
2021-01-21,Kentucky,233536,217837,15699
2021-01-22,Kentucky,252441,229873,22568
2021-01-23,Kentucky,269186,243620,25566
2021-01-24,Kentucky,297654,268308,29346
2021-01-25,Kentucky,305620,275610,30010
2021-01-26,Kentucky,310348,279715,30633
2021-01-27,Kentucky,321345,285291,36054
2021-01-28,Kentucky,340250,297108,43142
2021-01-29,Kentucky,364624,312373,52251
2021-01-30,Kentucky,383948,324581,59367
2021-01-31,Kentucky,402628,337738,64890
2021-02-01,Kentucky,413461,347384,66077
2021-02-02,Kentucky,417474,350622,66852
2021-02-03,Kentucky,433279,360015,73264
2021-02-04,Kentucky,453616,372114,81502
2021-02-05,Kentucky,481553,387902,93651
2021-02-06,Kentucky,514840,406790,108050
2021-02-07,Kentucky,545761,422976,122785
2021-02-08,Kentucky,562087,434294,127793
2021-02-09,Kentucky,566055,436193,129862
2021-02-10,Kentucky,582296,442691,139605
2021-02-11,Kentucky,605442,454145,151297
2021-02-12,Kentucky,633681,468357,165324
2021-02-13,Kentucky,646915,474397,172518
2021-02-14,Kentucky,675804,488161,187643
2021-02-15,Kentucky,692178,499267,192911
2021-02-16,Kentucky,708553,510373,198180
2021-02-17,Kentucky,716745,514681,202064
2021-02-18,Kentucky,722891,517316,205575
2021-02-19,Kentucky,775730,547573,228157
2021-02-20,Kentucky,793539,556588,236951
2021-02-21,Kentucky,820534,566677,253857
2021-02-22,Kentucky,863435,595646,267789
2021-02-23,Kentucky,875666,601422,274244
2021-02-24,Kentucky,899735,614219,285516
2021-02-25,Kentucky,933046,632128,300918
2021-02-26,Kentucky,970260,654232,316028
2021-02-27,Kentucky,1006067,677007,329060
2021-02-28,Kentucky,1045322,696591,348731
2021-03-01,Kentucky,1071911,713307,358604
2021-03-02,Kentucky,1086104,724283,361821
2021-03-03,Kentucky,1107172,737443,369729
2021-03-04,Kentucky,1141819,759350,382469
2021-03-05,Kentucky,1187133,789697,397436
2021-03-06,Kentucky,1233783,820729,413054
2021-03-07,Kentucky,1278275,847662,430613
2021-03-08,Kentucky,1310368,867007,443361
2021-03-09,Kentucky,1321044,872816,448228
2021-03-10,Kentucky,1347410,891206,456204
2021-03-11,Kentucky,1389413,922079,467334
2021-03-12,Kentucky,1438142,953333,484809
2021-03-13,Kentucky,1537849,1020088,517761
2021-03-14,Kentucky,1542879,1022830,520049
2021-03-15,Kentucky,1579585,1044344,535241
2021-03-16,Kentucky,1595049,1051308,543741
2021-03-17,Kentucky,1631286,1072092,559194
2021-03-18,Kentucky,1670470,1099332,571138
2021-03-19,Kentucky,1719233,1129895,589338
2021-03-20,Kentucky,1765665,1164238,601427
2021-03-21,Kentucky,1816266,1198585,617681
2021-03-22,Kentucky,1851185,1220786,630399
2021-03-23,Kentucky,1867531,1231911,635620
2021-03-24,Kentucky,1894069,1249160,644909
2021-03-25,Kentucky,1932894,1271160,661734
