date,state,total doses,first dose,second dose
2021-01-12,Indian Health Svc,16341,16105,236
2021-01-13,Indian Health Svc,17563,17240,323
2021-01-14,Indian Health Svc,75839,69313,6526
2021-01-15,Indian Health Svc,90039,77309,12730
2021-01-16,Indian Health Svc,93448,80564,12884
2021-01-17,Indian Health Svc,96858,83819,13039
2021-01-18,Indian Health Svc,100267,87074,13193
2021-01-19,Indian Health Svc,103677,90329,13348
2021-01-20,Indian Health Svc,108509,93635,14874
2021-01-21,Indian Health Svc,116782,99004,17778
2021-01-22,Indian Health Svc,122897,103912,18985
2021-01-23,Indian Health Svc,142438,120761,21677
2021-01-24,Indian Health Svc,152486,128843,23643
2021-01-25,Indian Health Svc,154230,130085,24145
2021-01-26,Indian Health Svc,156983,131481,25502
2021-01-27,Indian Health Svc,164451,135456,28995
2021-01-28,Indian Health Svc,178553,144908,33645
2021-01-29,Indian Health Svc,189111,152563,36548
2021-01-30,Indian Health Svc,192956,155066,37890
2021-01-31,Indian Health Svc,206095,165493,40602
2021-02-01,Indian Health Svc,207007,166090,40917
2021-02-02,Indian Health Svc,210525,168022,42503
2021-02-03,Indian Health Svc,220415,174664,45751
2021-02-04,Indian Health Svc,234859,182111,52748
2021-02-05,Indian Health Svc,240588,185622,54966
2021-02-06,Indian Health Svc,271941,204056,67885
2021-02-07,Indian Health Svc,277886,208409,69477
2021-02-08,Indian Health Svc,287156,214822,72334
2021-02-09,Indian Health Svc,293192,219484,73708
2021-02-10,Indian Health Svc,302119,224869,77250
2021-02-11,Indian Health Svc,320584,236970,83614
2021-02-12,Indian Health Svc,341450,251445,90005
2021-02-13,Indian Health Svc,357029,261997,95032
2021-02-14,Indian Health Svc,372790,273379,99411
2021-02-15,Indian Health Svc,376096,276013,100083
2021-02-16,Indian Health Svc,379403,278647,100756
2021-02-17,Indian Health Svc,384951,282359,102592
2021-02-18,Indian Health Svc,395631,289605,106026
2021-02-19,Indian Health Svc,401153,292789,108364
2021-02-20,Indian Health Svc,406185,295515,110670
2021-02-21,Indian Health Svc,420133,304986,115147
2021-02-22,Indian Health Svc,435961,314387,121574
2021-02-23,Indian Health Svc,449440,323323,126117
2021-02-24,Indian Health Svc,462683,331324,131359
2021-02-25,Indian Health Svc,482770,342938,139832
2021-02-26,Indian Health Svc,510483,358249,152234
2021-02-27,Indian Health Svc,531178,370073,161105
2021-02-28,Indian Health Svc,547635,380562,167073
2021-03-01,Indian Health Svc,563236,388629,174607
2021-03-02,Indian Health Svc,571684,392515,179169
2021-03-03,Indian Health Svc,582211,398016,184195
2021-03-04,Indian Health Svc,597266,407135,190131
2021-03-05,Indian Health Svc,614665,416618,198047
2021-03-06,Indian Health Svc,636377,427332,209045
2021-03-07,Indian Health Svc,649122,434800,214322
2021-03-08,Indian Health Svc,660135,439930,220205
2021-03-09,Indian Health Svc,663641,442180,221461
2021-03-10,Indian Health Svc,678405,449268,229137
2021-03-11,Indian Health Svc,691910,457232,234678
2021-03-12,Indian Health Svc,710301,466856,243445
2021-03-13,Indian Health Svc,728457,476051,252406
2021-03-14,Indian Health Svc,741348,482152,259196
2021-03-15,Indian Health Svc,752669,488026,264643
2021-03-16,Indian Health Svc,764191,493682,270509
2021-03-17,Indian Health Svc,777867,502449,275418
2021-03-18,Indian Health Svc,795869,513330,282539
2021-03-19,Indian Health Svc,811738,522791,288947
